N,H,q,p,F,V,rho_m,rho_r,constraint_signed,constraint_abs,constraint_rel
-60.0,1.3041808783936322e+50,0.0,0.0,1.0,2.0997,1.3404457807036544e+78,5.102663290702758e+100,0.0,0.0,0.0
-59.98,1.2530432147049942e+50,-1.1980521430101537e-22,6.423695407685898e-21,1.0,2.0997,1.2623842954593485e+78,4.71035189375468e+100,-7.770675568902916e+84,7.770675568902916e+84,-1.6497017089542358e-16
-59.96,1.2039106874900454e+50,8.852540541393341e-22,1.418687611514444e-20,1.0,2.0997,1.188868757217351e+78,4.3482028303582605e+100,7.770675568902916e+84,7.770675568902916e+84,1.787100526831373e-16
-59.94,1.1567046742230413e+50,1.7340969726868572e-22,-2.7131046072690236e-20,1.0,2.0997,1.1196344306336814e+78,4.013897110108295e+100,7.770675568902916e+84,7.770675568902916e+84,1.935942889351556e-16
-59.92,1.1113496352116353e+50,-2.629593124693419e-21,-1.5508364235348964e-19,1.0,2.0997,1.0544319973505924e+78,3.7052940350551045e+100,0.0,0.0,0.0
-59.9,1.0677729927171193e+50,-6.744629540804013e-21,-2.5976421732360173e-19,1.0,2.0997,9.930266581811862e+77,3.42041749192822e+100,0.0,0.0,0.0
-59.88,1.025905014814687e+50,-1.2726346312225977e-20,-2.7177519452004772e-19,1.0,2.0997,9.351972875787546e+77,3.1574432982657693e+100,-3.885337784451458e+84,3.885337784451458e+84,-1.230532876579442e-16
-59.86,9.856787038073527e+49,-1.9157368062018984e-20,-3.4811974935955866e-19,1.0,2.0997,8.807356373458332e+77,2.914687521418029e+100,-3.885337784451458e+84,3.885337784451458e+84,-1.333020351547392e-16
-59.84,9.47029689015463e+49,-2.8108420471243504e-20,-4.2143939692315866e-19,1.0,2.0997,8.294455867160463e+77,2.6905956956301734e+100,3.885337784451458e+84,3.885337784451458e+84,1.4440437077787934e-16
-59.82,9.0989612376976e+49,-3.447685766034564e-20,-3.220002926338736e-19,1.0,2.0997,7.811424361071491e+77,2.483732868153703e+100,0.0,0.0,0.0
-59.8,8.74218586443615e+49,-4.099708527064832e-20,-3.5582584365360443e-19,1.0,2.0997,7.356522420032905e+77,2.292774410650417e+100,0.0,0.0,0.0
-59.78,8.399399853657044e+49,-4.961937315345935e-20,-4.1739968409393974e-19,1.0,2.0997,6.928111905704538e+77,2.1164975370484194e+100,-3.885337784451458e+84,3.885337784451458e+84,-1.835739336540779e-16
-59.76,8.070054674611207e+49,-5.990748792958361e-20,-5.349404364160562e-19,1.0,2.0997,6.5246500774953e+77,1.9537734735364255e+100,0.0,0.0,0.0
-59.74,7.753623304748347e+49,-7.136357661783425e-20,-5.592479374512929e-19,1.0,2.0997,6.14468403703278e+77,1.8035602305581004e+100,0.0,0.0,0.0
-59.72,7.4495993863675e+49,-8.162759050841932e-20,-5.340778750463103e-19,1.0,2.0997,5.786845496158741e+77,1.6648959305210111e+100,-1.942668892225729e+84,1.942668892225729e+84,-1.166841035894533e-16
-59.7,7.157496416337579e+49,-9.14444208655535e-20,-4.973658250405364e-19,1.0,2.0997,5.449845849614189e+77,1.5368926484965586e+100,0.0,0.0,0.0
-59.68,6.876846967587703e+49,-1.0061632091972869e-19,-3.780786018758583e-19,1.0,2.0997,5.132471534667803e+77,1.4187307264686056e+100,-1.942668892225729e+84,1.942668892225729e+84,-1.3693006403415746e-16
-59.66,6.607201941124902e+49,-1.0938310278030496e-19,-4.769322834501254e-19,1.0,2.0997,4.833579660980847e+77,1.3096535247241403e+100,1.942668892225729e+84,1.942668892225729e+84,1.483345675441086e-16
-59.64,6.348129847379586e+49,-1.2108436313048373e-19,-6.625691885978499e-19,1.0,2.0997,4.552093894966057e+77,1.208962576775747e+100,0.0,0.0,0.0
-59.62,6.099216115729918e+49,-1.3494156793169317e-19,-6.777286904828159e-19,1.0,2.0997,4.2870005838242825e+77,1.1160131167913864e+100,1.942668892225729e+84,1.942668892225729e+84,1.7407222755687978e-16
-59.6,5.860062431101006e+49,-1.4682178604615718e-19,-6.065459449738543e-19,1.0,2.0997,4.037345105300783e+77,1.030209950892043e+100,0.0,0.0,0.0
-59.58,5.630286096575099e+49,-1.5959443983511855e-19,-6.025595060813797e-19,1.0,2.0997,3.8022284300122325e+77,9.510036458786062e+99,-1.942668892225729e+84,1.942668892225729e+84,-2.0427565137575792e-16
-59.56,5.409519420995556e+49,-1.7282329998640723e-19,-6.474794947104713e-19,1.0,2.0997,3.5808038839712324e+77,8.77887010983843e+99,0.0,0.0,0.0
-59.54,5.197409130581887e+49,-1.842993994221927e-19,-6.061295244363317e-19,1.0,2.0997,3.3722740996448264e+77,8.103918501196793e+99,-1.942668892225729e+84,1.942668892225729e+84,-2.3971969756838426e-16
-59.52,4.993615803616976e+49,-1.9740563425001232e-19,-6.039345001025048e-19,1.0,2.0997,3.1758881445702447e+77,7.480859638239965e+99,-9.713344461128645e+83,9.713344461128645e+83,-1.2984262412138936e-16
-59.5,4.797813327299302e+49,-2.0788497895154868e-19,-5.389477929913417e-19,1.0,2.0997,2.990938817186935e+77,6.90570381708324e+99,0.0,0.0,0.0
-59.48,4.609688375893409e+49,-2.171843093309469e-19,-4.300134464712315e-19,1.0,2.0997,2.8167601001470715e+77,6.374768076854045e+99,0.0,0.0,0.0
-59.46,4.428939909341647e+49,-2.2578734038991246e-19,-4.2632195419673374e-19,1.0,2.0997,2.6527247619337225e+77,5.88465261616776e+99,-9.713344461128645e+83,9.713344461128645e+83,-1.6506232558981926e-16
-59.44,4.255278691535676e+49,-2.327106308647539e-19,-3.4521782962595856e-19,1.0,2.0997,2.498242098149894e+77,5.432219022791273e+99,0.0,0.0,0.0
-59.42,4.0884268274774264e+49,-2.3804667500943377e-19,-2.0533313999650368e-19,1.0,2.0997,2.352755804344665e+77,5.01457017709114e+99,0.0,0.0,0.0
-59.4,3.928117318587324e+49,-2.4212381713807045e-19,-2.1507750510931324e-19,1.0,2.0997,2.2157419727162818e+77,4.629031700575701e+99,0.0,0.0,0.0
-59.38,3.774093635450073e+49,-2.4661164448648566e-19,-1.872177208237827e-19,1.0,2.0997,2.086707205478247e+77,4.273134830743425e+99,-4.856672230564323e+83,4.856672230564323e+83,-1.1365595570780002e-16
-59.36,3.626109307312406e+49,-2.47261369138999e-19,-3.315057761950869e-20,1.0,2.0997,1.9651868380940517e+77,3.944600612573296e+99,9.713344461128645e+83,9.713344461128645e+83,2.4624405396499836e-16
-59.34,3.4839275276777333e+49,-2.4812167469194963e-19,2.216153371890957e-21,1.0,2.0997,1.8507432659835977e+77,3.6413253054332044e+99,0.0,0.0,0.0
