# Derived snapshot: PCHIP evaluation of frozen R103 two-slope background at
# N=-ln(1+z), divided by H(N=0).
# Background SHA-256: c4506070d0b548c9b04f071c3f62ba9e2a9b4ad384d7dda0cab520875dd3c662
z,E_two_slope_pchip
0.1791,1.0917197325949077
0.1993,1.1034370808156593
0.3519,1.2005889915143988
0.3802,1.2202327849331631
0.4004,1.2345561680332602
0.4247,1.2521139759723858
0.4497,1.2705467310077281
0.4783,1.292086889718232
0.5929,1.3830939370803981
0.6797,1.4568091459971002
0.7812,1.5479324842516207
0.8754,1.63699303599914
1.037,1.7991787388447829
1.363,2.1589200459483155
1.965,2.920031346196299
