galaxy,n_points,gdagger_si,ups_disk,chi2,chi2_red,sigma_lo_si,sigma_hi_si,ratio_cH0,ratio_cH0_2pi,ratio_a0
UGC05829,11,3.244889299604866e-11,1.3873575217571261,0.4890540072737647,0.05433933414152941,4.9211050669689776e-12,5.144338558250015e-12,0.047712446675416645,0.29978614392056735,0.2704074416337388
UGC07577,9,8.501885501093296e-12,0.1,0.5876809700715095,0.08395442429592993,3.3111423747252457e-12,4.49160335052156e-12,0.012501066173838591,0.07854651530754235,0.07084904584244414
NGC1705,14,2.4064801623112e-10,0.9150182049256332,1.0655540453649146,0.08879617044707622,1.8036463198069978e-11,1.5032759582912e-11,0.3538458351528441,2.22327895243904,2.0054001352593334
F583-4,12,9.687694803329305e-11,0.41705382613069325,1.2230480363902207,0.12230480363902207,8.799024980044162e-12,9.678051618224907e-12,0.1424466535015065,0.8950187203375671,0.8073079002774421
UGCA444,36,3.9890260160063105e-11,2.5,5.11146965965894,0.1503373429311453,4.2455827781304636e-12,4.751267622260734e-12,0.05865413994207046,0.3685348302892724,0.3324188346671925
UGC07089,12,1.1374963463560135e-10,0.14524324396108204,1.5892542492723023,0.15892542492723022,1.0331517424409203e-11,1.1363640761879131e-11,0.16725604098605587,1.050900699260613,0.9479136219633446
UGC05005,11,7.091410790431982e-11,0.27694245699962905,1.4337869700224517,0.15930966333582797,1.1787185340337662e-11,1.2677218257660349e-11,0.10427121789121166,0.6551553842157823,0.5909508992026652
UGC12732,16,5.5319121787527486e-11,1.374509931187097,2.298264928598306,0.1641617806141647,2.3432290081815963e-12,2.4468746835390258e-12,0.08134054523030072,0.5110777186690021,0.46099268156272905
DDO154,12,9.764843619416666e-11,0.1,1.95800849342716,0.195800849342716,5.741243002258085e-12,6.099885999244767e-12,0.14358104005025193,0.9021462812333066,0.8137369682847222
UGC05918,8,1.7214347370631702e-11,2.5,1.250701210418128,0.20845020173635467,3.5877694805335506e-12,4.159146688504552e-12,0.02531176120779773,0.15903848611967292,0.14345289475526418
F568-V1,15,7.903257957809935e-11,2.5,2.780937614419199,0.21391827803224606,1.0814987955859623e-11,1.0958017792942527e-11,0.11620851716574329,0.7301596476249249,0.6586048298174946
DDO064,14,1.1335861462385467e-10,0.35245191064247383,2.799565846228071,0.23329715385233926,1.719163895292089e-11,2.0264964778398928e-11,0.16668109004823017,1.0472881759757173,0.9446551218654555
NGC3741,21,1.6235791351737123e-10,0.1,4.4680301309187875,0.23515948057467304,6.8772200347459325e-12,7.1814131428863804e-12,0.2387290466880575,1.4999788385473924,1.3529826126447602
