seed,fold,model,train_galaxies,test_galaxies,train_points,test_points,invalid_train_points,invalid_test_points,aM_si,common_disk_ML,train_chi2,test_chi2,optimizer_success
75,0,HRC0,132,33,2681,661,3,0,1.2398357132668645e-10,0.696014236497101,82569.33488277988,20173.305119717916,True
75,1,HRC0,132,33,2690,652,2,1,1.2838074782858183e-10,0.6787487152900684,79106.036311439,23700.071431448774,True
75,2,HRC0,132,33,2599,743,1,2,1.2490577390583036e-10,0.7041527652305767,82462.00661233638,20270.60176256484,True
75,3,HRC0,132,33,2765,577,3,0,1.3045174976514596e-10,0.6872895156124735,91268.41147171102,11584.777052699857,True
75,4,HRC0,132,33,2633,709,3,0,1.1521672219162382e-10,0.7456956727455537,74838.92482099622,28570.463750126713,True
176,0,HRC0,132,33,2762,580,3,0,1.1937792721029012e-10,0.7000841008639911,84575.01244188358,18532.873713093155,True
176,1,HRC0,132,33,2567,775,3,0,1.3091436615871607e-10,0.7026127070317685,80368.3539355562,22900.854358218385,True
176,2,HRC0,132,33,2649,693,3,0,1.3293524313980824e-10,0.7077858076025346,85453.86549842707,18459.06457095441,True
176,3,HRC0,132,33,2803,539,0,3,1.248350597474429e-10,0.7123434206716078,92205.92545245151,10644.287425915554,True
176,4,HRC0,132,33,2587,755,3,0,1.2730683423221603e-10,0.6226907241609839,64073.95755397588,42470.26516203742,True
277,0,HRC0,132,33,2537,805,3,0,1.459844719879093e-10,0.574600832049758,78696.65918587969,28644.309103187195,True
277,1,HRC0,132,33,2744,598,3,0,1.2691322955695105e-10,0.7032836877107874,85071.55585723481,17743.3277940311,True
277,2,HRC0,132,33,2612,730,3,0,1.3171600565739603e-10,0.6742035778842134,83442.97636244218,19443.36754278576,True
277,3,HRC0,132,33,2755,587,3,0,1.1830736184549447e-10,0.7300271608900577,81426.28599065074,21605.23327579647,True
277,4,HRC0,132,33,2720,622,0,3,1.1599335482068676e-10,0.7534316045280692,78406.4337923176,25232.273936946593,True
378,0,HRC0,132,33,2662,680,2,1,1.297827032755424e-10,0.6895361906831157,87041.61540486122,15785.215544279046,True
378,1,HRC0,132,33,2625,717,3,0,1.1504138467937912e-10,0.7119986802790867,76296.6944733753,27256.073670188314,True
378,2,HRC0,132,33,2615,727,1,2,1.387398623930659e-10,0.6234248939640061,73418.76127923428,30850.072143477122,True
378,3,HRC0,132,33,2806,536,3,0,1.2392346411077665e-10,0.7361600504935424,88868.0660650733,14751.397631609576,True
378,4,HRC0,132,33,2660,682,3,0,1.259539923323303e-10,0.6917686262839265,82929.74421758999,19788.40767472116,True
479,0,HRC0,132,33,2726,616,3,0,1.3030953279024612e-10,0.6930085366625562,92047.41949542005,10875.882438763345,True
479,1,HRC0,132,33,2472,870,3,0,1.181033628444091e-10,0.68947174555014,60932.84985824233,42824.57273378507,True
479,2,HRC0,132,33,2653,689,2,1,1.3066605754443342e-10,0.7226353752207086,83109.99813346445,21129.566416157075,True
479,3,HRC0,132,33,2789,553,1,2,1.2089471825540226e-10,0.7065810011334613,89501.15659441685,13328.657641129656,True
479,4,HRC0,132,33,2728,614,3,0,1.2657534399607026e-10,0.6674265018022402,82610.27633120948,20634.808734870137,True
75,0,HRC3,132,33,2681,661,3,0,1.241975139213243e-10,0.5104645930090075,76400.22765576218,18969.365492267985,True
75,1,HRC3,132,33,2690,652,2,1,1.0308388048318166e-10,0.5750613507043079,76538.80623884445,18623.455363361085,True
75,2,HRC3,132,33,2599,743,1,2,1.0942829961651699e-10,0.5726123953614356,73006.61250128031,22146.61380427127,True
75,3,HRC3,132,33,2765,577,3,0,1.1079474767946276e-10,0.5615035856671902,85405.52881703616,9625.168518877856,True
75,4,HRC3,132,33,2633,709,3,0,1.0935769126330081e-10,0.553588978016606,68131.12654292812,26932.631392376454,True
176,0,HRC3,132,33,2762,580,3,0,9.586041090831985e-11,0.5986385383028404,79408.98779553242,16155.277560638504,True
176,1,HRC3,132,33,2567,775,3,0,1.0886736416990857e-10,0.578204251972742,78065.21370720988,17199.930982175712,True
176,2,HRC3,132,33,2649,693,3,0,1.2054416152430967e-10,0.5584728199836246,77263.44016916331,19168.299601267507,True
176,3,HRC3,132,33,2803,539,0,3,1.070837727237903e-10,0.5824553558756619,84037.28811544174,11184.565165583794,True
176,4,HRC3,132,33,2587,755,3,0,1.2608737624742547e-10,0.4493525365994225,55626.36594392582,44662.554856651856,True
277,0,HRC3,132,33,2537,805,3,0,1.4796062550597802e-10,0.41118243072398036,67430.72025006564,32572.54854817308,True
277,1,HRC3,132,33,2744,598,3,0,1.1536104267429951e-10,0.5569141476556603,77580.10410339142,17734.85687298746,True
277,2,HRC3,132,33,2612,730,3,0,1.1135954415609172e-10,0.5526011172444956,80098.37900978728,14908.607288212392,True
277,3,HRC3,132,33,2755,587,3,0,1.0011255081812752e-10,0.601034467341789,74345.80896947296,20929.051196902878,True
277,4,HRC3,132,33,2720,622,0,3,8.634852715052986e-11,0.6673601795327331,74610.5207540526,22200.566556456302,True
378,0,HRC3,132,33,2662,680,2,1,1.1755156936487786e-10,0.5464325365705819,77298.78326375196,17955.468436615007,True
378,1,HRC3,132,33,2625,717,3,0,9.31187747840094e-11,0.6071862710515438,72498.64029922489,23322.99876596426,True
