galaxy,n_points,D_Mpc,R_last,Mbar_proxy,Sigma_bar_proxy,gdag_fixed_si,gdag_fixed_kpc,chi2_fixed,chi2_red_fixed,sigma_lo_fixed_si,sigma_hi_fixed_si,gdag_free_si,gdag_free_kpc,ml_disk_best,chi2_free,chi2_red_free,chi2_red_base_cH0,chi2_red_base_cH0_2pi,ml_mond,chi2_red_mond,ml_lcdm,rho_s,r_s_kpc,chi2_red_lcdm,ratio_cH0,ratio_cH0_2pi,ratio_a0,flag_ml_edge,flag_bad_fit,flag_low_points,flag_bulge_sensitive,flag_low_quality
UGC07866,7,4.57,2.32,183023753.57773122,10823846.271228036,3.3418869031185936e-11,1031.1985496832658,0.3194308689638943,0.06388617379277886,8.735024581962038e-12,1.0286329936395566e-11,2.3531546973899178e-11,726.1076695517172,0.7233077285199792,0.20528301694358422,0.04105660338871685,43.40902264620474,3.80149915035253,0.10000546443110717,1.0992477752311702,0.8713446741407315,31456.16571924423,316.22776601683796,0.04092099192620597,0.049138687313535025,0.3087474781424952,0.2784905752598828,False,False,True,False,True
UGCA281,7,5.68,1.08,60009656.561053365,16376600.608605335,6.851676170626655e-11,2114.206355534129,0.6046980688885975,0.12093961377771949,1.0391053502073957e-11,1.086241737660807e-11,9.705248115313107e-11,2994.7266532232998,0.3319704808613982,0.5142989034599033,0.10285978069198065,64.51843675405014,1.5559584432974487,0.2467053321768678,0.09359257229309481,0.9138788608911387,99990.24795782249,181.79572037886146,0.221229736959193,0.10074619000656063,0.6330069808035446,0.5709730142188879,False,False,True,False,True
F583-4,12,53.3,7.29,1556051280.5429552,9320065.745882792,7.988201908462071e-11,2464.901554536797,1.2497374624794364,0.12497374624794363,8.501968228512514e-12,7.980250408005205e-12,9.687694917381829e-11,2989.3103022892974,0.4170538213522327,1.2230480363902207,0.12230480363902207,61.74012459348081,0.8397487232130558,0.3375295560831441,0.11505552949696604,1.0200817745919455,49172.557857054846,316.22776601683796,0.1272685163049222,0.11745752239879788,0.7380073789538439,0.6656834923718393,False,False,False,False,False
UGC07577,9,2.59,1.69,60364577.84515369,6727580.2329832455,2.030381267616587e-12,62.65101959364527,1.4142199034590148,0.20203141477985925,1.3055963006537698e-12,1.85588439319619e-12,8.501885453090619e-12,262.340773430093,0.1,0.5876809700715104,0.08395442429593006,74.69641476243369,18.128801094871314,0.10000546443110717,9.35989849266084,0.1,10516.5330243675,316.22776444690646,0.14935384814383199,0.0029854472377137116,0.018758118219362675,0.01691984389680489,True,False,False,False,True
F571-V1,7,80.1,13.59,3737053934.6324387,6440811.360317957,8.831924017144117e-11,2725.246994113678,1.035382986609419,0.20707659732188383,1.2085794539717831e-11,1.4001835831645101e-11,8.626361126399329e-11,2661.816913757903,0.5241928895762225,1.0329068147307707,0.20658136294615415,55.228142713440114,0.4958218385853617,0.2535136270140159,0.26581159391814063,0.5895165521876259,1025769.8435689701,28.092213494830062,0.3979909668893243,0.12986350682614467,0.815956478028848,0.7359936680953431,False,False,True,False,True
NGC1705,14,5.73,6.0,549278501.5264213,4856688.258446619,4.1232826880613943e-10,12723.120952702508,2.563891144323595,0.2136575953602996,2.4242854060758198e-11,2.5757252568614607e-11,2.4064802163276934e-10,7425.622053824859,0.9150181827507158,1.065554045364874,0.08879617044707283,4.229832980177879,17.64505232716672,1.6370956525434952,0.2843085510423701,1.2801893604268832,44744246.33681438,2.8810945598202062,0.07108334596261844,0.606282332669266,3.809384244630098,3.4360689067178285,False,False,False,False,False
UGCA444,36,0.98,2.62,124574347.52180356,5776651.474431163,5.438369891926058e-11,1678.1056055373867,8.163229357550165,0.24009498110441663,4.939498353450639e-12,5.432956508391719e-12,3.989026016192161e-11,1230.8848150149972,2.5,5.111469659658938,0.15033734293114523,31.715019335464167,1.589846134658539,0.10000546443110717,1.855523378266323,0.1,54661.64426733594,289.6110360843939,0.06045985628260426,0.07996511113686078,0.5024356113821064,0.45319749099383816,True,False,False,False,True
DDO064,14,6.8,2.98,443164546.80521107,15884831.365057645,9.354784934370157e-11,2886.5850151659183,3.0425535681523477,0.2535461306793623,1.554931551690611e-11,1.6723421315049655e-11,1.1335861574569681e-10,3497.88139275391,0.3524519026726631,2.79956584622807,0.23329715385233918,17.46483457951251,0.2883243842863163,0.32271680451584556,0.21684346617804273,0.5430894318616282,78903.91010569347,316.2277658500328,0.6127061604646045,0.1375515883994805,0.86426211921083,0.7795654111975131,False,False,False,False,False
UGC05005,11,53.7,28.61,12345573779.967499,4800933.506181425,5.258178365011197e-11,1622.5043100397982,2.733648522722175,0.30373872474690833,8.740027164209042e-12,1.0482386069370024e-11,7.091410796574212e-11,2188.1807316134887,0.27694245676009305,1.433786970022453,0.1593096633358281,39.55320911260574,2.0960160260561156,0.10581746934813972,0.5433561795125924,0.1,477337.6835517653,48.153176149963556,0.2157224606236563,0.07731559744764675,0.48578822589886556,0.4381815304175997,False,False,False,False,False
UGC04483,8,3.34,1.21,50312352.037127025,10938405.1981263,3.923783384922442e-11,1210.7530425483492,1.862932660229057,0.3104887767048428,6.522025498201451e-12,7.014493989483485e-12,4.597921850189212e-11,1418.7704374578161,0.31384012409794765,1.6258275857723898,0.2709712642953983,81.9875204589659,6.135356390367886,0.10000546443110717,3.6706802187791174,0.1651024178507881,5214502.399138741,3.9262703481843846,0.46679462007173783,0.057694820449435684,0.36250724814825863,0.32698194874353687,False,False,False,False,False
F565-V2,7,51.8,8.8,1860751571.1791227,7648445.5170239685,1.8073891471673287e-10,5577.020172445028,1.6304461647131343,0.32608923294262687,2.4732701327115323e-11,2.865374076295229e-11,1.9284928591588747e-10,5950.707181572729,0.40417193388272,1.6132009623538641,0.3226401924707728,16.946762776585924,1.7863132730504667,1.1750960496460094,0.3679296047276355,0.1,96153.71423876341,293.1890301899224,0.46385418556741076,0.2657562411033525,1.66979570939186,1.5061576226394406,False,False,True,False,True
UGC06399,9,18.0,7.85,2726352011.551044,14082920.986551369,1.4609129962616902e-10,4507.906481074079,2.7537993368736315,0.39339990526766166,1.326900796189419e-11,1.4594587953676312e-11,1.1734316346842703e-10,3620.8316885580207,0.6293868382752086,2.6218780543668414,0.3745540077666916,49.58519205638919,1.4481684813615796,0.6200114811913825,0.3289462556988471,1.3125922164197923,77832.50505291202,316.22776601683796,0.5572302339637875,0.2148108209424801,1.349696193968976,1.2174274968847418,False,False,False,False,False
UGC07608,8,8.21,4.78,793499049.2709684,11054541.76486704,2.176483131982717e-10,6715.925206853187,2.531959951057282,0.42199332517621363,3.929173150375035e-11,4.338905012185884e-11,2.317001098783243e-10,7149.518346806318,0.42044014578245614,2.514104320118511,0.41901738668641847,6.989557603963634,1.8749633533253094,1.3728741251261336,0.5148141410959112,0.1,108020.4399227471,316.22776601683796,0.5036843943643048,0.3200273592917779,2.0107912017975815,1.8137359433189308,False,False,False,False,False
