edge_id,tail,head,style,canonical_edge_label,canonical_edge_xlabel
E001,GN,LIV,dashed,,
E002,GN,einstein,dashed,tensor completion missing,
E003,KG,schrodinger,dashed,NR state + S0 match,
E004,MBAL,S0,dashed,owner map Open,
E005,NLO,GN,dashed,,
E006,P1,SSB,dashed,,
E007,P2,SSB,dashed,,
E008,P3,GE,dashed,,
E009,P3,SSB,dashed,,
E010,P4,SSB,solid,,
E011,P4,lorentz,dashed,,
E012,P5,gauge,dashed,,
E013,P6,SSB,dashed,,
E014,P6,skyrmion,dashed,,
E015,P6,topo_anti,dashed,,
E016,PX,NLO,dashed,separate operator; no P(X) derivation,
E017,Ph1,cstar,dashed,,
E018,Ph2,GN,dashed,,
E019,S0,KG,dashed,operational action unit,
E020,S0,S0HBAR,dashed,empirical calibration [Level B],
E021,S0BAL,MBAL,dashed,owner not derived,
E022,S0EFT,S0,dashed,owner map Open,
E023,SSB,GE,dashed,,
E024,SSB,UC,solid,,
E025,SSB,skyrmion,solid,,
E026,SSB,topo_anti,solid,,
E027,T1MIN,S0BAL,solid,,
E028,T1MODEL,T1MIN,solid,,
E029,UC,PX,solid,,
E030,UC,S0EFT,dashed,supplied 1D fixed-core reduction,
E031,UC,T1MODEL,dashed,supplied conditional model,
E032,UC,cstar,dashed,separate supplied operator,
E033,UC,goldstone,dashed,requires action / domain / projector,
E034,UC,lorentz,dashed,separate supplied operator,
E035,anomaly_arch,cpt_open,dashed,,
E036,anomaly_arch,flavour_arch,dashed,,
E037,cpt_arch,anomaly_arch,dashed,,
E038,cpt_arch,cpt_open,dashed,,
E039,cstar,GN,dashed,,
E040,cstar,LIV,dashed,,
E041,dirac,fifth,dashed,,
E042,dirac,flavour_arch,dashed,,
E043,dirac,neutrino,dashed,,
E044,einstein,second_law,dashed,,
E045,fifth,common_origin,dashed,,
E046,fifth,cpt_arch,dashed,,
E047,flavour_arch,cpt_open,dashed,,
E048,gauge,SU3,dashed,,
E049,gauge,anomaly_arch,dashed,,
E050,gauge,boson_hier,dashed,,
E051,gauge,common_origin,dashed,,
E052,gauge,cpt_arch,dashed,,
E053,gauge,dirac,dashed,,
E054,gauge,neutrino,dashed,,
E055,gauge,parity,dashed,,
E056,gauge,threegen,dashed,,
E057,goldstone,boson_hier,dashed,,
E058,lorentz,KG,solid,,
E059,lorentz,einstein,dashed,,
E060,lorentz,gauge,dashed,,
E061,lorentz,unruh,dashed,,
E062,parity,common_origin,dashed,,
E063,parity,cpt_arch,dashed,,
