omega,S_intrinsic_edge_plus_line,S_external_lorentzians
0.85000,1.789435e-150,2.452373e-01
0.85100,2.159716e-152,2.475539e-01
0.85200,2.535208e-154,2.499045e-01
0.85300,2.894455e-156,2.522898e-01
0.85400,3.214076e-158,2.547102e-01
0.85500,3.471218e-160,2.571667e-01
0.85600,3.646228e-162,2.596598e-01
0.85700,3.725135e-164,2.621904e-01
0.85800,3.701489e-166,2.647591e-01
0.85900,3.577233e-168,2.673668e-01
0.86000,3.362438e-170,2.700142e-01
0.86100,3.073955e-172,2.727021e-01
0.86200,2.733236e-174,2.754314e-01
0.86300,2.363703e-176,2.782029e-01
0.86400,1.988131e-178,2.810175e-01
0.86500,1.626422e-180,2.838761e-01
0.86600,1.294070e-182,2.867796e-01
0.86700,1.001426e-184,2.897289e-01
0.86800,7.537302e-187,2.927249e-01
0.86900,5.517588e-189,2.957688e-01
0.87000,3.928429e-191,2.988615e-01
0.87100,2.720351e-193,3.020041e-01
0.87200,1.832175e-195,3.051975e-01
0.87300,1.200178e-197,3.084430e-01
0.87400,7.646456e-200,3.117416e-01
0.87500,4.738176e-202,3.150946e-01
0.87600,2.855607e-204,3.185030e-01
0.87700,1.673871e-206,3.219681e-01
0.87800,9.542930e-209,3.254913e-01
0.87900,5.291487e-211,3.290737e-01
0.88000,2.853711e-213,3.327167e-01
0.88100,1.496851e-215,3.364217e-01
0.88200,7.636308e-218,3.401900e-01
0.88300,3.789000e-220,3.440232e-01
0.88400,1.828529e-222,3.479226e-01
0.88500,8.582534e-225,3.518899e-01
0.88600,3.918009e-227,3.559265e-01
0.88700,1.739609e-229,3.600342e-01
0.88800,7.512318e-232,3.642145e-01
0.88900,3.155242e-234,3.684692e-01
0.89000,1.288925e-236,3.728000e-01
0.89100,5.121048e-239,3.772087e-01
0.89200,1.978911e-241,3.816973e-01
0.89300,7.437552e-244,3.862676e-01
0.89400,2.718755e-246,3.909216e-01
0.89500,9.665989e-249,3.956613e-01
0.89600,3.342403e-251,4.004888e-01
0.89700,1.124107e-253,4.054064e-01
0.89800,3.676992e-256,4.104161e-01
0.89900,1.169806e-258,4.155204e-01
0.90000,3.619692e-261,4.207216e-01
0.90100,1.089345e-263,4.260221e-01
0.90200,3.188567e-266,4.314244e-01
0.90300,9.077410e-269,4.369311e-01
0.90400,2.513417e-271,4.425450e-01
0.90500,6.768673e-274,4.482687e-01
0.90600,1.772877e-276,4.541052e-01
0.90700,4.516376e-279,4.600573e-01
0.90800,1.119020e-281,4.661281e-01
0.90900,2.696633e-284,4.723207e-01
0.91000,6.320363e-287,4.786384e-01
0.91100,1.440783e-289,4.850845e-01
0.91200,3.194415e-292,4.916625e-01
0.91300,6.888431e-295,4.983759e-01
0.91400,1.444726e-297,5.052284e-01
0.91500,2.947048e-300,5.122239e-01
0.91600,5.846891e-303,5.193662e-01
0.91700,1.128234e-305,5.266595e-01
0.91800,2.117432e-308,5.341079e-01
0.91900,3.865058e-311,5.417159e-01
0.92000,6.861813e-314,5.494879e-01
0.92100,1.184836e-316,5.574286e-01
0.92200,1.990739e-319,5.655429e-01
0.92300,3.260833e-322,5.738356e-01
0.92400,0.000000e+00,5.823121e-01
0.92500,0.000000e+00,5.909777e-01
0.92600,0.000000e+00,5.998379e-01
0.92700,0.000000e+00,6.088986e-01
0.92800,0.000000e+00,6.181656e-01
0.92900,0.000000e+00,6.276451e-01
0.93000,0.000000e+00,6.373437e-01
0.93100,0.000000e+00,6.472678e-01
0.93200,0.000000e+00,6.574245e-01
0.93300,0.000000e+00,6.678209e-01
0.93400,0.000000e+00,6.784645e-01
0.93500,0.000000e+00,6.893628e-01
0.93600,0.000000e+00,7.005240e-01
0.93700,0.000000e+00,7.119564e-01
0.93800,0.000000e+00,7.236686e-01
0.93900,0.000000e+00,7.356696e-01
0.94000,0.000000e+00,7.479687e-01
0.94100,0.000000e+00,7.605756e-01
0.94200,0.000000e+00,7.735004e-01
0.94300,0.000000e+00,7.867536e-01
0.94400,0.000000e+00,8.003461e-01
0.94500,0.000000e+00,8.142892e-01
0.94600,0.000000e+00,8.285948e-01
0.94700,0.000000e+00,8.432751e-01
0.94800,0.000000e+00,8.583430e-01
0.94900,0.000000e+00,8.738118e-01
0.95000,0.000000e+00,8.896953e-01
0.95100,0.000000e+00,9.060081e-01
0.95200,0.000000e+00,9.227653e-01
0.95300,0.000000e+00,9.399825e-01
0.95400,0.000000e+00,9.576762e-01
0.95500,0.000000e+00,9.758635e-01
0.95600,0.000000e+00,9.945623e-01
0.95700,0.000000e+00,1.013791e+00
0.95800,0.000000e+00,1.033569e+00
0.95900,0.000000e+00,1.053918e+00
0.96000,0.000000e+00,1.074857e+00
0.96100,0.000000e+00,1.096409e+00
0.96200,0.000000e+00,1.118598e+00
0.96300,0.000000e+00,1.141447e+00
0.96400,0.000000e+00,1.164982e+00
0.96500,0.000000e+00,1.189229e+00
0.96600,0.000000e+00,1.214216e+00
0.96700,0.000000e+00,1.239972e+00
0.96800,0.000000e+00,1.266527e+00
0.96900,0.000000e+00,1.293913e+00
0.97000,0.000000e+00,1.322162e+00
0.97100,0.000000e+00,1.351311e+00
0.97200,0.000000e+00,1.381394e+00
0.97300,0.000000e+00,1.412450e+00
0.97400,0.000000e+00,1.444519e+00
0.97500,0.000000e+00,1.477643e+00
0.97600,0.000000e+00,1.511866e+00
0.97700,0.000000e+00,1.547232e+00
0.97800,0.000000e+00,1.583792e+00
0.97900,0.000000e+00,1.621594e+00
0.98000,0.000000e+00,1.660691e+00
0.98100,0.000000e+00,1.701140e+00
0.98200,0.000000e+00,1.742998e+00
0.98300,0.000000e+00,1.786326e+00
0.98400,0.000000e+00,1.831188e+00
0.98500,0.000000e+00,1.877651e+00
0.98600,0.000000e+00,1.925785e+00
0.98700,0.000000e+00,1.975663e+00
0.98800,0.000000e+00,2.027363e+00
0.98900,0.000000e+00,2.080965e+00
0.99000,0.000000e+00,2.136554e+00
0.99100,0.000000e+00,2.194218e+00
0.99200,0.000000e+00,2.254050e+00
0.99300,0.000000e+00,2.316147e+00
0.99400,0.000000e+00,2.380610e+00
0.99500,0.000000e+00,2.447545e+00
0.99600,0.000000e+00,2.517063e+00
0.99700,0.000000e+00,2.589278e+00
0.99800,0.000000e+00,2.664312e+00
0.99900,0.000000e+00,2.742288e+00
1.00000,0.000000e+00,2.823337e+00
1.00100,2.377955e-04,2.907594e+00
1.00200,4.755672e-04,2.995197e+00
1.00300,7.133151e-04,3.086292e+00
1.00400,9.510392e-04,3.181028e+00
1.00500,1.188740e-03,3.279556e+00
1.00600,1.426416e-03,3.382034e+00
1.00700,1.664069e-03,3.488621e+00
1.00800,1.901698e-03,3.599482e+00
1.00900,2.139303e-03,3.714779e+00
1.01000,2.376885e-03,3.834678e+00
1.01100,2.614443e-03,3.959344e+00
1.01200,2.851977e-03,4.088939e+00
1.01300,3.089487e-03,4.223624e+00
1.01400,3.326973e-03,4.363552e+00
1.01500,3.564436e-03,4.508867e+00
1.01600,3.801875e-03,4.659705e+00
1.01700,4.039290e-03,4.816184e+00
1.01800,4.276682e-03,4.978406e+00
1.01900,4.514049e-03,5.146451e+00
1.02000,4.751393e-03,5.320369e+00
1.02100,4.988714e-03,5.500178e+00
1.02200,5.226010e-03,5.685857e+00
1.02300,5.463283e-03,5.877339e+00
1.02400,5.700532e-03,6.074502e+00
1.02500,5.937757e-03,6.277162e+00
1.02600,6.174959e-03,6.485067e+00
1.02700,6.412136e-03,6.697882e+00
1.02800,6.649290e-03,6.915185e+00
1.02900,6.886421e-03,7.136456e+00
1.03000,7.123527e-03,7.361068e+00
1.03100,7.360610e-03,7.588277e+00
1.03200,7.597669e-03,7.817219e+00
1.03300,7.834705e-03,8.046900e+00
1.03400,8.071717e-03,8.276194e+00
1.03500,8.308705e-03,8.503847e+00
1.03600,8.545669e-03,8.728471e+00
1.03700,8.782609e-03,8.948559e+00
1.03800,9.019526e-03,9.162496e+00
1.03900,9.256419e-03,9.368573e+00
1.04000,9.493289e-03,9.565009e+00
1.04100,9.730134e-03,9.749986e+00
1.04200,9.966956e-03,9.921674e+00
1.04300,1.020375e-02,1.007827e+01
1.04400,1.044053e-02,1.021806e+01
1.04500,1.067728e-02,1.033941e+01
