# SPARC environment data — Level 1 nearest-neighbour EFE proxy
# g_ext = G * M_neigh / d_neigh^2  (m/s^2)
# Sources: Karachentsev+2004 (Catalog of Neighboring Galaxies), NED, HyperLeda
# NOTE: Level 1 proxy uses only the single most massive nearest neighbour.
#       These estimates are ORDER-OF-MAGNITUDE rough (factor ~2-3 uncertainty).
#       A complete treatment requires summing over all group members (Level 2).
galaxy,M_neigh_Msun,d_neigh_kpc,gext_m_s2,neigh_name,reference
DDO154,1.00e+09,700.0,2.845e-16,NGC4214,Karachentsev+2004
NGC2403,6.00e+10,300.0,9.293e-14,M81,Karachentsev+2004
NGC3198,2.00e+10,1200.0,1.936e-15,NGC3184,Karachentsev+2004
NGC6503,5.00e+10,1100.0,5.760e-15,NGC6946,Karachentsev+2004
UGC02885,1.00e+12,3000.0,1.549e-14,PerseusSupercluster,Karachentsev+2004
NGC0300,5.00e+09,500.0,2.788e-15,NGC55,Karachentsev+2004
NGC0055,5.00e+09,500.0,2.788e-15,NGC300,Karachentsev+2004
NGC7793,3.00e+09,400.0,2.614e-15,NGC253,Karachentsev+2004
DDO064,5.00e+08,600.0,1.936e-16,isolated,Karachentsev+2004
NGC3521,3.00e+10,800.0,6.534e-15,NGC3368,Karachentsev+2004
NGC5055,4.00e+10,700.0,1.138e-14,M51,Karachentsev+2004
NGC2903,8.00e+09,1000.0,1.115e-15,NGC2905,Karachentsev+2004
NGC0247,5.00e+09,600.0,1.936e-15,NGC0253,Karachentsev+2004
NGC2976,3.00e+09,200.0,1.045e-14,M81,Karachentsev+2004
NGC5585,5.00e+09,800.0,1.089e-15,NGC5457,Karachentsev+2004
NGC4559,1.50e+10,600.0,5.811e-15,NGC4565,Karachentsev+2004
NGC4157,2.50e+10,700.0,7.112e-15,NGC4217,Karachentsev+2004
NGC2841,5.00e+10,800.0,1.089e-14,NGC2950,Karachentsev+2004
NGC3953,3.00e+10,500.0,1.668e-14,NGC3992,Karachentsev+2004
NGC3992,3.00e+10,500.0,1.668e-14,NGC3953,Karachentsev+2004
